age,gender,know_facebook,beliefs
24,Male,Nothing at all,0
70,Male,Nothing at all,0
61,Female,Not very much,0
53,Female,Not very much,0
35,Male,Not very much,0
73,Female,Nothing at all,0
61,Male,Not very much,1
71,Male,Not very much,0
56,Male,Nothing at all,4
40,Female,A great deal,3
30,Male,A great deal,2
33,Female,Not very much,0
58,Female,Nothing at all,1
63,Male,Nothing at all,0
29,Female,A fair amount,0
38,Male,Nothing at all,0
52,Male,Not very much,0
36,Female,A fair amount,0
70,Male,A fair amount,0
61,Female,Nothing at all,0
43,Female,Nothing at all,0
72,Male,Nothing at all,0
49,Male,A fair amount,2
35,Female,A fair amount,0
31,Female,Nothing at all,2
48,Female,Nothing at all,0
62,Female,Nothing at all,0
36,Male,Nothing at all,0
20,Female,Nothing at all,1
53,Female,Nothing at all,0
33,Female,Nothing at all,0
36,Male,Not very much,0
35,Male,Nothing at all,0
65,Female,Nothing at all,0
71,Female,Nothing at all,0
22,Female,Nothing at all,0
51,Male,Not very much,0
24,Female,Not very much,0
44,Female,Nothing at all,1
59,Female,Not very much,1
58,Female,A fair amount,0
30,Female,A great deal,0
38,Male,Not very much,0
54,Female,Not very much,0
27,Female,A fair amount,0
62,Male,Not very much,2
44,Male,Nothing at all,2
49,Male,Nothing at all,0
22,Female,Nothing at all,0
29,Female,Not very much,0
20,Male,A great deal,3
71,Male,Not very much,0
32,Male,A fair amount,0
55,Female,Nothing at all,0
19,Male,A great deal,4
72,Female,A fair amount,0
71,Male,A great deal,0
18,Female,Nothing at all,0
59,Female,Not very much,1
28,Male,A fair amount,2
62,Male,Not very much,1
70,Male,Nothing at all,4
20,Female,Not very much,0
20,Female,Nothing at all,0
18,Female,Nothing at all,1
53,Male,Nothing at all,0
56,Male,Not very much,0
24,Female,Nothing at all,0
52,Male,Nothing at all,0
52,Male,Nothing at all,0
54,Female,Not very much,1
47,Male,Not very much,0
67,Male,Nothing at all,0
64,Male,Not very much,0
24,Male,Not very much,4
60,Male,Nothing at all,0
56,Female,Nothing at all,0
72,Male,Not very much,0
59,Female,Not very much,1
47,Female,Nothing at all,0
28,Male,A fair amount,0
37,Female,Nothing at all,1
22,Female,Not very much,1
56,Female,Not very much,1
16,Female,Nothing at all,1
32,Female,Not very much,0
70,Male,Nothing at all,0
30,Female,Not very much,3
62,Female,Nothing at all,1
37,Male,Nothing at all,0
55,Female,Nothing at all,0
43,Male,Nothing at all,0
23,Male,Nothing at all,0
29,Female,Not very much,0
44,Male,Nothing at all,0
31,Female,A fair amount,0
43,Male,Nothing at all,2
58,Female,Not very much,2
41,Female,Nothing at all,4
63,Male,Nothing at all,1
56,Male,Nothing at all,0
28,Female,A great deal,1
48,Female,A great deal,0
42,Male,Nothing at all,0
63,Female,Nothing at all,0
61,Female,A fair amount,2
42,Male,Not very much,2
64,Male,Nothing at all,0
60,Female,Nothing at all,0
52,Female,Nothing at all,2
28,Male,Not very much,0
45,Female,Nothing at all,2
75,Male,Nothing at all,0
40,Female,Not very much,0
41,Female,A fair amount,1
60,Male,Nothing at all,1
62,Female,Not very much,0
27,Female,Not very much,1
28,Male,Nothing at all,3
45,Female,Nothing at all,0
57,Female,Nothing at all,1
47,Male,Nothing at all,0
30,Female,Nothing at all,1
34,Female,Not very much,0
44,Female,Nothing at all,1
58,Female,Nothing at all,0
21,Female,A fair amount,2
63,Female,Nothing at all,0
53,Male,A fair amount,0
30,Female,A fair amount,1
32,Female,A fair amount,0
23,Male,Not very much,0
32,Female,Nothing at all,1
20,Male,Nothing at all,1
31,Female,Not very much,0
39,Female,Nothing at all,0
